funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
1 person found this review funny,"Posted April 18, 2015.",,295110,5 of 8 people (63%) found this review helpful,False,1
1 person found this review funny,"Posted April 9, 2015.",,346900,2 of 4 people (50%) found this review helpful,True,2
,"Posted December 19, 2013.","Last edited April 11, 2015.",730,1 of 2 people (50%) found this review helpful,True,1
,"Posted April 18, 2015.",,218620,0 of 1 people (0%) found this review helpful,True,1
,"Posted July 29, 2014.",,570,1 of 4 people (25%) found this review helpful,True,2
,"Posted December 29, 2013.",,105600,1 of 4 people (25%) found this review helpful,True,1
,"Posted October 2, 2014.","Last edited October 5, 2014.",252490,0 of 2 people (0%) found this review helpful,True,2
,"Posted October 3, 2014.",,113200,No ratings yet,True,1
,"Posted October 2, 2014.",,248820,No ratings yet,True,2
,"Posted September 20, 2014.",,304930,No ratings yet,True,1
