funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,"Posted May 17, 2015.",,34900,1 of 1 people (100%) found this review helpful,True,1
,"Posted March 29, 2014.","Last edited April 21, 2014.",220,1 of 1 people (100%) found this review helpful,True,2
,"Posted July 23, 2015.",,318430,2 of 3 people (67%) found this review helpful,True,1
,"Posted January 6, 2015.","Last edited January 6, 2015.",313040,1 of 2 people (50%) found this review helpful,False,1
,"Posted July 2, 2014.","Last edited July 28, 2014.",72850,0 of 1 people (0%) found this review helpful,True,2
,"Posted April 21, 2014.","Last edited July 2, 2014.",224540,0 of 1 people (0%) found this review helpful,False,1
1 person found this review funny,"Posted November 2, 2015.",,238240,6 of 14 people (43%) found this review helpful,False,1
,"Posted July 2, 2014.",,265930,No ratings yet,True,1
,"Posted April 21, 2014.",,440,No ratings yet,True,2
,"Posted April 21, 2014.","Last edited November 13, 2015.",221020,No ratings yet,False,1
