funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,Posted May 25.,,107410,4 of 5 people (80%) found this review helpful,True,1
4 people found this review funny,"Posted August 27, 2014.",Last edited January 7.,730,3 of 4 people (75%) found this review helpful,True,1
,"Posted February 17, 2014.",,4000,3 of 4 people (75%) found this review helpful,True,0
4 people found this review funny,Posted May 25.,,252490,1 of 2 people (50%) found this review helpful,True,1
,"Posted December 8, 2015.",,200510,1 of 2 people (50%) found this review helpful,True,0
,"Posted August 6, 2015.","Last edited September 24, 2015.",8930,1 of 2 people (50%) found this review helpful,True,1
,"Posted December 8, 2015.",,72850,0 of 1 people (0%) found this review helpful,True,1
,"Posted August 6, 2015.",,252950,0 of 1 people (0%) found this review helpful,True,2
,Posted January 10.,,50300,0 of 3 people (0%) found this review helpful,True,1
1 person found this review funny,"Posted May 16, 2015.",Last edited January 2.,344760,0 of 3 people (0%) found this review helpful,True,1
