funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted January 23, 2014.",,72850,1 of 1 people (100%) found this review helpful,True,1
,Posted January 30.,,11590,1 of 2 people (50%) found this review helpful,True,2
,"Posted November 26, 2013.",,6100,0 of 4 people (0%) found this review helpful,False,1
,"Posted October 10, 2014.",,202170,0 of 7 people (0%) found this review helpful,False,0
,Posted January 30.,,330830,No ratings yet,True,1
,Posted January 30.,,324610,No ratings yet,False,0
,"Posted December 22, 2015.",,239030,No ratings yet,True,1
,"Posted June 17, 2015.",,251870,No ratings yet,True,1
,"Posted July 11, 2014.",,291480,No ratings yet,False,2
,"Posted November 27, 2013.",,8930,No ratings yet,True,1
