funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted June 22, 2014.",Last edited June 22.,218620,2 of 3 people (67%) found this review helpful,True,2
,"Posted August 16, 2014.","Last edited May 6, 2015.",730,0 of 1 people (0%) found this review helpful,True,1
,Posted June 27.,,422400,No ratings yet,True,2
,"Posted September 5, 2015.",,304050,No ratings yet,True,0
,"Posted December 28, 2014.",,293500,No ratings yet,True,2
,"Posted December 28, 2014.","Last edited December 31, 2014.",322330,No ratings yet,True,1
,"Posted November 15, 2014.",,225280,No ratings yet,True,1
,"Posted September 2, 2014.","Last edited September 2, 2014.",49520,No ratings yet,True,1
,"Posted August 16, 2014.","Last edited May 31, 2015.",230410,No ratings yet,True,1
,"Posted June 22, 2014.",,238460,No ratings yet,True,1
