funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
2 people found this review funny,"Posted June 8, 2014.",,265630,3 of 3 people (100%) found this review helpful,True,0
,"Posted January 6, 2014.","Last edited April 5, 2015.",221100,2 of 2 people (100%) found this review helpful,True,2
,"Posted January 27, 2014.",,203290,1 of 1 people (100%) found this review helpful,True,1
1 person found this review funny,"Posted August 23, 2014.",,270170,4 of 9 people (44%) found this review helpful,True,1
3 people found this review funny,"Posted December 24, 2014.",,107410,1 of 6 people (17%) found this review helpful,False,1
1 person found this review funny,"Posted January 16, 2015.",,730,No ratings yet,True,0
,"Posted October 10, 2014.","Last edited October 10, 2014.",244850,No ratings yet,True,1
,"Posted April 10, 2014.",,42910,No ratings yet,True,2
,"Posted December 19, 2013.",,8190,No ratings yet,True,0
,"Posted November 29, 2013.",,240,No ratings yet,True,1
