funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted March 7, 2014.",,206440,1 of 1 people (100%) found this review helpful,True,2
,"Posted March 24, 2014.",,8870,0 of 1 people (0%) found this review helpful,True,2
,"Posted September 28, 2012.","Last edited February 15, 2014.",440,0 of 1 people (0%) found this review helpful,True,1
,"Posted July 7, 2014.",,105600,No ratings yet,True,2
,"Posted April 20, 2014.",,222900,No ratings yet,True,1
,"Posted February 23, 2014.","Last edited February 23, 2014.",259390,No ratings yet,True,2
,"Posted February 23, 2014.",,218060,No ratings yet,True,2
,"Posted February 22, 2014.",,4000,No ratings yet,True,2
,"Posted February 15, 2014.","Last edited February 15, 2014.",570,No ratings yet,False,1
,"Posted February 3, 2014.",,244710,No ratings yet,True,2
