funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted September 24, 2015.",,22380,12 of 41 people (29%) found this review helpful,False,1
,Posted April 16.,,269490,No ratings yet,True,1
,"Posted December 25, 2015.","Last edited December 26, 2015.",300550,No ratings yet,True,2
,"Posted December 11, 2015.",,206420,No ratings yet,True,2
,"Posted November 11, 2015.",,294020,No ratings yet,False,1
,"Posted July 19, 2015.",,218040,No ratings yet,False,1
,"Posted May 2, 2015.",,284950,No ratings yet,False,0
,"Posted January 23, 2015.","Last edited March 5, 2015.",225280,No ratings yet,True,2
,"Posted March 22, 2014.",,208520,No ratings yet,True,1
,"Posted June 28, 2013.",,38600,No ratings yet,True,1
