user_id,user_url,reviews_id
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,0
js41637,http://steamcommunity.com/id/js41637,1
evcentric,http://steamcommunity.com/id/evcentric,2
doctr,http://steamcommunity.com/id/doctr,3
maplemage,http://steamcommunity.com/id/maplemage,4
Wackky,http://steamcommunity.com/id/Wackky,5
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,6
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,7
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,8
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,9
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,10
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,11
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,12
death-hunter,http://steamcommunity.com/id/death-hunter,13
DJKamBer,http://steamcommunity.com/id/DJKamBer,14
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,15
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,16
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,17
PPanther,http://steamcommunity.com/id/PPanther,18
devvonst,http://steamcommunity.com/id/devvonst,19
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,20
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,21
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,22
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,23
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,24
tru_mu_,http://steamcommunity.com/id/tru_mu_,25
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,26
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,27
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,28
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,29
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,30
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,31
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,32
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,33
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,34
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,35
boydeer,http://steamcommunity.com/id/boydeer,36
VVillis,http://steamcommunity.com/id/VVillis,37
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,38
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,39
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,40
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,41
diego9031,http://steamcommunity.com/id/diego9031,42
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,43
76561198078738103,http://steamcommunity.com/profiles/76561198078738103,44
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,45
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,46
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,47
Derp-e,http://steamcommunity.com/id/Derp-e,48
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,49
Rivtex,http://steamcommunity.com/id/Rivtex,50
UTNerd24,http://steamcommunity.com/id/UTNerd24,51
sandwiches1,http://steamcommunity.com/id/sandwiches1,52
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,53
lucaswerg,http://steamcommunity.com/id/lucaswerg,54
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,55
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,56
