funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted June 29, 2014.",,238460,3 of 3 people (100%) found this review helpful,True,I can hit a cat with weapons10/10
3 people found this review funny,"Posted January 17, 2015.",,322330,1 of 1 people (100%) found this review helpful,True,I entered a server as Willow. A Strongman with a torch fired the berry bush field and blame me.10/10 would be banned again.
,"Posted December 9, 2014.",,212480,1 of 1 people (100%) found this review helpful,True,"You can be a pyro, a fat man and a spy at the same race. 9/10 because there's no hats"
,"Posted December 25, 2013.",,440,1 of 1 people (100%) found this review helpful,True,It is so freakin awesomemim da hat pootis :3
,"Posted October 9, 2014.","Last edited March 3, 2015.",270550,2 of 3 people (67%) found this review helpful,True,"That's a perfect game for anyone that likes Top Down Shooter, but with zombies, aaooooooooo bubina"
,"Posted June 13, 2015.",,266840,2 of 4 people (50%) found this review helpful,True,Vritomus.10/10 -IGN
,"Posted December 9, 2014.",,218680,1 of 2 people (50%) found this review helpful,True,"Maxwell's notebook is the most awesome thing I ever seem in my second life, because I created a Phoenix Down with the notebook and used before I die.10/10 would create again."
,"Posted June 29, 2014.",,204360,2 of 4 people (50%) found this review helpful,True,You can ride a lhama that spits10/10
,Posted May 15.,,466910,No ratings yet,True,Muito viciante e divertido! :D
,"Posted December 9, 2014.",,221260,No ratings yet,True,"When you buy Tablets, Videogames, Suns and Planets, what do you do with them? That' is! BURN!10/10 pixel-colored fire"
