funny,posted,last_edited,item_id,helpful,recommend,review
3 people found this review funny,"Posted February 16, 2015.",,286160,3 of 3 people (100%) found this review helpful,True,"Tried to play monoploy with friends, table was flipped and spammed so much it broke the game and kicked me..10/10"
1 person found this review funny,"Posted December 22, 2014.",,332800,1 of 1 people (100%) found this review helpful,True,>annoying phone guy calls>hear kid laugh>sees ♥♥♥♥ed up puppet cause I didnt tune the music>esc>uninstall>sold computer>moved in with grandparents10/10
1 person found this review funny,"Posted December 22, 2014.",,200260,1 of 1 people (100%) found this review helpful,True,"Today I purchased this game.. I could have done anything else in my life today but Today i became batman,My life outside being batman didnt matter,I didnt even eat.. 10/10 - ign"
,"Posted June 26, 2014.",,12200,1 of 1 people (100%) found this review helpful,True,8/10Nostelgic as ♥♥♥♥ but PC controls have to be customised (recommend using a controller to play)
6 people found this review funny,"Posted January 29, 2015.",,207140,5 of 9 people (56%) found this review helpful,True,"In the words sung by flock of seagulls...And I ran, I ran so far awayI just ran, I ran all night and dayAnd I ran, I ran so far awayI just ran, I couldn't get away10/10 game"
,"Posted January 29, 2015.",,250900,No ratings yet,True,Do you have time to talk about jesus christ our saviour? good game loved it 9/4
,"Posted January 29, 2015.",,207610,No ratings yet,True,Even though its a point and click adventure.. Just be prepared to strap yourself in because we're going on a feels trip friends
,"Posted January 4, 2015.",,219740,No ratings yet,True,"Very fun game to play,Survival can be challenging and increases difficulty over time.Game design is unique and dark.9/10 Buy it now with dont starve together and play with friends"
1 person found this review funny,"Posted December 21, 2014.",,400,No ratings yet,True,Went through a Blue hole came out another 10/10
,"Posted June 26, 2014.",,219150,No ratings yet,True,"15/10Masks, Killing, Dogs... just like call of duty but not ♥♥♥♥"
