funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted December 22, 2014.",,286160,1 of 1 people (100%) found this review helpful,True,"This game is awesome as the community backing it with all the custome content such as monoply, risk, card against humanity just to name a few but I was having problems playing with friends as they could not connect to the server I hosted."
,"Posted August 21, 2014.",,257710,0 of 1 people (0%) found this review helpful,True,This game is amazing FULL STOP.
,"Posted April 5, 2015.",,285900,No ratings yet,True,This is basically what jelly babys do when your not looking
,"Posted January 28, 2015.","Last edited February 21, 2015.",313120,No ratings yet,True,started the game got drunk on a martini plane crashed...paddled to island found willson my life is completevollyball/10 would be tom hanks again
,"Posted December 30, 2014.",,219740,No ratings yet,True,Went to have dinner forgot to pause the game....9001/10
,"Posted September 29, 2014.",,219890,No ratings yet,True,This game is amazing I love it.
,"Posted September 27, 2014.",,206190,No ratings yet,True,One of the most entertaining puzzel games ive EVER played
,"Posted August 2, 2014.",Last edited June 17.,304930,No ratings yet,True,8/8 -Eric Stoltz
,"Posted June 30, 2014.",,204360,No ratings yet,True,Its so addictive
,"Posted June 27, 2014.",,250340,No ratings yet,False,It doe's not work with my machine probly it wont go full screen and it wants me to use a numpad wen my keyboard does not have one and works of all there is an option to fix all thies problems but when I try and activate then it does not workMy machine is a macbook pro with no NUMPAD :(the game runs fin on my mac because it is cutom build with gaming freatures and the game just does not like that!
