funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted December 23, 2013.",,440,2 of 2 people (100%) found this review helpful,True,this is one of the best f2p games in history get this game now!
,"Posted April 7, 2014.",,15700,1 of 1 people (100%) found this review helpful,True,This game is old as but one of my great childhood games no words more to say 9/10
,"Posted April 7, 2014.",,204100,1 of 1 people (100%) found this review helpful,True,This game is up in my top ten favourate games in my life and the storyline is my second favourate stroylines ever you have to get this game its multiplayer has good gameplay and sort of relates to the storyline for the avatars and the maps 10/10
,"Posted April 3, 2014.",,8850,1 of 1 people (100%) found this review helpful,True,There are no words to describe this game it is sipmly the best game series ive ever played in my life 10/10
,"Posted February 9, 2014.",,49520,1 of 1 people (100%) found this review helpful,True,HOLY CRAP THIS IS AWESOME
,"Posted December 31, 2013.",,12210,1 of 1 people (100%) found this review helpful,True,This has to be the best GTA ever it got the best mods and great storyline
,"Posted May 29, 2015.",,220440,0 of 1 people (0%) found this review helpful,True,♥♥♥♥ing AMAZING I DONT CARE WHAT PEOPLE SAY ITS SO GOOOOOOOOOOOODDDDDDD! 10/10
,"Posted June 13, 2014.",,209000,No ratings yet,True,I would give this game a goood 10/10 its got a really good story etc
,"Posted April 24, 2014.",,1840,No ratings yet,True,This is a great production
,"Posted April 7, 2014.",,35140,No ratings yet,True,this is my favourate superhero games of all time it has a dark felling to the story and i like dark storylines and twists all up i like kinda creepy games anyway this is a must play game 9/10
