funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted June 30, 2015.",,550,1 of 1 people (100%) found this review helpful,True,be prepared to get touched innapropriately by Jockeys and chargers that will fist you into oblivion10/10 would get fisted again/
1 person found this review funny,"Posted June 30, 2015.",,271590,1 of 2 people (50%) found this review helpful,True,"No bowling with Roman0/10 would not play ever again,"
,"Posted May 7, 2015.",Last edited June 23.,221100,0 of 2 people (0%) found this review helpful,True,"Finally went through its optimization patch, worth playing if you stopped because of bad fps"
,Posted March 30.,,33930,No ratings yet,True,"Honestly, no other game has given me as much freedom and enjoyment as this game has. Would highly recommend this game."
,"Posted September 22, 2015.",,10090,No ratings yet,True,In bubberducky you play as Bubberducky
,"Posted June 30, 2015.",,49520,No ratings yet,True,"This game is a masterpizza pie, handsome JECK is the best part of this game."
,"Posted June 30, 2015.",,12210,No ratings yet,True,YELLOW CAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAR
,"Posted June 30, 2015.",,730,No ratings yet,True,"1 Deag, 1 Goal."
,"Posted June 30, 2015.",,1840,No ratings yet,True,"All of your furry dreams come true with this amazing tool built by Valve in association with Victor Michael, Niko Bellic and Roman."
,"Posted June 30, 2015.",,107410,No ratings yet,True,IM SO SICK OF HAVING TO CATCH MY BREATH AFTER RUNNING 500 KM! HNNNNGGGG - ArmA 3 community
