funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted September 26, 2014.",,440,1 of 1 people (100%) found this review helpful,True,WE NEED TF3
,Posted August 6.,,377160,6 of 11 people (55%) found this review helpful,False,4 ways for the same ♥♥♥♥ing ending with different people.
,Posted February 13.,,50300,1 of 2 people (50%) found this review helpful,True,Atliest the airport in mw2 had no context.
,Posted June 13.,,72750,0 of 1 people (0%) found this review helpful,True,I thought Valve wrote the Dialogue for a second. This is by far my favorite dlc for any fallout game.
,"Posted November 23, 2014.","Last edited November 23, 2014.",72730,4 of 10 people (40%) found this review helpful,False,Most boring most repetive worst dlc I have ever played. I did not hesitate a second to leave the sierra madre. But it has the best reward at the end. Probaly the devs saying 'sorry for the ♥♥♥♥♥♥ dlc have some gold'
,"Posted November 14, 2015.",,47890,No ratings yet,True,Ive killed so many children.10/10 best child killing sim sence skyrim.
,"Posted May 25, 2015.",,227300,No ratings yet,True,Road Rage Simulator 2015
,"Posted December 19, 2014.",,314160,No ratings yet,True,Dont text and fly!
,"Posted May 29, 2014.","Last edited October 27, 2015.",218620,No ratings yet,False,This game was good before the update. Now sence they made drills drop its still fun.Other then the ASSLOADS OF DLC THAT SHOULD BE ♥♥♥♥ING FREE NOW ♥♥♥♥ING WEPON SKINS. THIS IS LIKE EA MAKING CSGO.
,"Posted March 9, 2014.",,17570,No ratings yet,True,this is one of the best games ever released well best mod 6 out of 5 stars
