funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted November 12, 2013.",,219740,3 of 3 people (100%) found this review helpful,True,Don't Starve...seriously....It sucks....No one likes starving....so play this game and get food...
,"Posted November 23, 2014.",,242860,3 of 4 people (75%) found this review helpful,True,Nothing like the smell of blood and mud in the morning.
,"Posted March 15, 2014.",,4000,1 of 1 people (100%) found this review helpful,True,Wanna fly a bathtub? Well now you can with one of the best sandboxes of all time!
,"Posted November 23, 2014.",,245620,1 of 4 people (25%) found this review helpful,True,Nothing like seeing your president walking down the street in a pink astronaut suit.
,"Posted November 23, 2014.",,252490,No ratings yet,True,Our friend killed us all....What a traitor.....#BlameKaya
,"Posted November 23, 2014.",,200510,No ratings yet,True,Sent an entire squadron of rookies against aliens.....Everyone died.....92030/10
,"Posted November 23, 2014.",,227940,No ratings yet,True,BIKE SQUADRON 8.....ROLL OUT!!@!121111!!!!2121@@!@1!1!!!!!!1
,"Posted November 23, 2014.",,10500,No ratings yet,True,Invaded England as India.....Now all of Britain belongs to me.... 11/10
,"Posted November 20, 2013.",,209080,No ratings yet,True,Fly ships...Shoot at other ships...like ships...play this game...Oh btw....I said FLY!...Yes...Aiships..Not land ships or sea ships...Airships...That is all...I like full stops..............
,"Posted June 21, 2013.",,440,No ratings yet,True,Good Game...Very intence...-Sir Knightlyship of the Tree
