funny,posted,last_edited,item_id,helpful,recommend,review
,Posted August 18.,,275850,3 of 3 people (100%) found this review helpful,False,"Fun for the first 25 hrs then its just repetitive. same ai, almost exactly the same planets, and same minerals across all star systems."
,Posted April 12.,,374320,1 of 2 people (50%) found this review helpful,True,as of first day it = crash souls
,Posted May 24.,,333950,3 of 7 people (43%) found this review helpful,False,no
,"Posted December 21, 2013.",,218620,0 of 1 people (0%) found this review helpful,True,k
,Posted May 22.,,438680,0 of 2 people (0%) found this review helpful,False,buggy af
,Posted September 7.,,17390,0 of 5 people (0%) found this review helpful,True,make a carnivorious phalic being
1 person found this review funny,Posted June 29.,,233130,No ratings yet,True,"Great Game, bit confusing but nonetheless a 20+ hour slaughter-fest. 8/10"
,"Posted November 28, 2015.",,417860,No ratings yet,True,solid
,"Posted June 24, 2014.",,105800,No ratings yet,True,10.122sadEWTRE#WaWQeR -IGN
,"Posted February 12, 2014.",,12140,No ratings yet,True,"Got scared by a door that turned red then started spazzing out, then the game proceeded to shake and i cried then quit the game.10/10would recommend"
