funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted October 26, 2014.",,4560,3 of 3 people (100%) found this review helpful,True,"world war strategy game at its finest, one of my favourite pc games of all time"
,"Posted January 25, 2014.","Last edited June 20, 2014.",207610,4 of 5 people (80%) found this review helpful,True,"A brilliant joyride full of emotional twists and turns, if you love a great apocalyptic story-telling game; despite point and click controls, the game is flawless in its perfection in making decisions and how it impacts the story as you play."
,Posted February 2.,,287450,1 of 1 people (100%) found this review helpful,True,"a solid Real Time Strategy classic, up there with Age of Empires II and Age of Mythology,"
,"Posted December 27, 2013.",,221640,1 of 1 people (100%) found this review helpful,True,"very addictive at the sense of being frustrated over beating your own high score constantly, a game i can always come back to."
,Posted March 5.,,219990,3 of 5 people (60%) found this review helpful,True,"if your in hack and slash action rpgs like titan quest, diablo II, path of exile, torchlight :D YOU WILL <3 THIS"
,"Posted December 28, 2015.",,423880,No ratings yet,True,"what are you doing with your life?the ending basically sums up, go get a real girlfriend, and don't waste your time on dating simlators haha"
,"Posted November 10, 2014.",,20900,No ratings yet,True,one of my favourite RPGs of all time :D (this and dragon age origins)
,"Posted October 20, 2014.","Last edited December 22, 2014.",312990,No ratings yet,True,"THIS IS GAME IS THE BOMB< you have no excuse, PLAY THIS GAME, it is BRO-GASMIC, best expendable videogame ever - hardcore metal slug :D PLUS ITS FREE!"
,"Posted October 5, 2014.",,220440,No ratings yet,True,this game got me hooked on hack and slashing games; unique and a different take from the previous dmc.
,"Posted December 10, 2013.","Last edited December 31, 2013.",238010,No ratings yet,True,"Top notch cyberpunk/action-stealth/science fiction genre that literally has a badass protagonist, filled with an amazing futuristic astonished setting and environments of futuristic florence, stunning visualisations and backdrops compilated with an awesome soundtrack by Michael McCann that will keep you exploring the fully immersed world of Deus Ex."
