funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted December 4, 2015.",,17390,No ratings yet,True,I made a human10/10
,"Posted December 4, 2015.",,304930,No ratings yet,True,Zombies100/10
,"Posted November 5, 2015.",,346900,No ratings yet,True,"Money, fake money ftw.9/10"
,"Posted October 2, 2015.","Last edited December 4, 2015.",246620,No ratings yet,True,I want to kill everybody100/10
,"Posted July 18, 2015.",,290140,No ratings yet,True,"One of the best third person MMORPGS out there, a smooth storyline, great graphics and amazing gameplay, it's incredible! The only con is that the gameplay may seem a bit confusing at first, but you hang on to it after a little while9/10"
,"Posted April 16, 2015.","Last edited December 4, 2015.",105600,No ratings yet,True,So flatLike a matLike a bunny?So So Funny!90/10
,"Posted April 16, 2015.",,219640,No ratings yet,True,Gory but fun!
,"Posted April 16, 2015.",,570,No ratings yet,False,Sort of fun but gets boring after playing it for long. Pretty mixed but I don't really recommend it.
,"Posted August 20, 2012.",,109400,No ratings yet,True,similar to team fortress 2 only third person and way more weapons.I really recommend downloading
,"Posted July 1, 2012.","Last edited December 4, 2015.",440,No ratings yet,True,ScoutSoldierPyroStuff like dat. Pyro OP
