funny,posted,last_edited,item_id,helpful,recommend,review
214 people found this review funny,"Posted June 5, 2015.",,246620,187 of 215 people (87%) found this review helpful,True,RAISE YOUR HAND IF YOU HATE GREENLAND!( ͡° ͜ʖ ͡°)═╝ ( ͡° ͜ʖ ͡°)═╝ ( ͡° ͜ʖ ͡°)═╝ ( ͡° ͜ʖ ͡°)═╝ ( ͡° ͜ʖ ͡°)═╝11/10 Not enough Total Organ Failure.
,"Posted September 8, 2015.",,346900,1 of 1 people (100%) found this review helpful,True,Start with a lemonade stand.And end up with a lodsa money.11/10
,"Posted July 28, 2015.",,239030,1 of 1 people (100%) found this review helpful,True,Girl gives me a passport.Says sex is male on the passportDoes X-RayGirl has a ♥♥♥♥♥Accepts into Arstotzkaglory to arstrotzka
,"Posted May 10, 2015.",,230050,1 of 1 people (100%) found this review helpful,True,Please buy DLC Quest to review the DLC Review.I SAID BUY IT 
,"Posted April 23, 2015.","Last edited July 7, 2015.",232090,1 of 1 people (100%) found this review helpful,True,Tripwire after announcing KF2 early accesshttps://youtu.be/ON-7v4qnHP811/10
,"Posted September 18, 2014.",,550,1 of 1 people (100%) found this review helpful,True,Non-Laggy game kill zombies millons of zombies ENDLESS FUN!
,"Posted September 3, 2014.","Last edited October 27, 2015.",319510,1 of 1 people (100%) found this review helpful,False,"It's very appealing for 8-11-year-olds, that's for sure."
1 person found this review funny,"Posted August 8, 2014.","Last edited May 5, 2015.",218620,1 of 1 people (100%) found this review helpful,True,Is good.
2 people found this review funny,"Posted May 30, 2014.","Last edited August 11, 2015.",4000,1 of 1 people (100%) found this review helpful,True,I only have a couple hours.Days.Weeks.Mods.Help.
1 person found this review funny,"Posted August 2, 2012.","Last edited June 10, 2015.",440,1 of 1 people (100%) found this review helpful,True,"MLG TRADING HATS, CONGA, EVERYBODY SPAMMING POOTIS DENPESER HER! 11/10 its like skyrim with hats- IGN"
