funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted December 23, 2012.",,49520,2 of 2 people (100%) found this review helpful,True,this is the best game in the world
,"Posted May 5, 2014.",,293010,5 of 8 people (63%) found this review helpful,True,"I LOVE THIS GAME, This game is practically warband and fire and sword but on the sea, the ship menu is pretty hard to learn but fun to learn at the same time, the naval combat could use a bit of work with the cannon system and boarding with some of the troops spawning in the ocean but over all if it had multiplay naval combat where you can board the other play it we awesome"
,"Posted February 28, 2015.",,730,1 of 1 people (100%) found this review helpful,True,"CS:GO, The the skill required, the stratagie, the smooth movements, these are only some of the great things about this game, the game is fun to play with friends or to play competativly, it might be a pain in the ♥♥♥ sometimes but once you get through that and start getting good, it isn't such a pain"
,"Posted August 3, 2014.",,304930,1 of 1 people (100%) found this review helpful,True,It is like DAYZ but it is blockyish and can run on a not very good pc so it is DAYZ for people without good pc'a
,"Posted January 31, 2014.",,48700,1 of 1 people (100%) found this review helpful,True,"Fricken Great game it has a great modding community as well as a exelent map and troop tree can be complicated your first time around though, get used to it after a few times of and experimenting and you will be pretty good"
,"Posted September 14, 2013.",,218620,1 of 1 people (100%) found this review helpful,True,Great game guys
,"Posted March 24, 2012.",,7520,1 of 3 people (33%) found this review helpful,True,well this game has really good classes on network and good modes to
,"Posted April 30, 2014.",,233450,1 of 7 people (14%) found this review helpful,True,I LOVE IT!!!!!!!!!!!!!!!!!!!11
,"Posted August 11, 2015.",,346900,No ratings yet,True,GREAT BANTER
,"Posted November 17, 2012.",,212680,No ratings yet,True,it's a really fun stratigy based game
