funny,posted,last_edited,item_id,helpful,recommend,review
2 people found this review funny,"Posted July 29, 2014.","Last edited March 12, 2015.",221100,5 of 5 people (100%) found this review helpful,True,"Spawned.Found a shovel, child's briefcase and a lime hat.Get into a house.A bambi is outside.I told him come in I'm friendly.Shovel his face till his death.11/10Will play it forever."
,"Posted December 3, 2013.","Last edited January 15, 2014.",236390,5 of 5 people (100%) found this review helpful,False,"This game now is really stupid!!With the new updates and ♥♥♥♥!!Seriously, why the hell the repair cost is too high and you gain a little amount of RP and lions now eventhough I destroy enemy airplanes and base.And why the Russians are too OP now??(sorry for my bad English)"
,"Posted March 24, 2014.",,218620,2 of 3 people (67%) found this review helpful,True,"This game is AWESOME!!!Buy it now!!But, you must have 3 good, best or close friends that play this game.Because, this game is really need to have a really good teamwork.Or not, the heist will be fail."
,Posted June 30.,,730,No ratings yet,True,BUy it cuz it is worth it
,"Posted July 10, 2014.",,242050,No ratings yet,True,Awesome game with awesome graphics and EPIC Story. It's so epic that it made me cry.Buy it.YES! BUY IT NOW!!
,"Posted June 29, 2014.",,8930,No ratings yet,True,Great game for people who loves history.This game improve my score on history.
,"Posted May 26, 2014.",,228400,No ratings yet,True,"Good game because of the gameplay, graphics and story.But, the campaign is bit short. It just take me 7 hours to complete all of it.And I can't play multiplayer."
,"Posted April 5, 2014.",,550,No ratings yet,True,"A good game to play with friends that loves teamwork, horror and KILLING DEM ZOMBIES!!!"
,"Posted January 11, 2014.",,219640,No ratings yet,True,"This game is really awesome.You should buy this game.But, if you using NVidia GeForce GT630, you will get some random crash."
,"Posted December 16, 2013.",,218230,No ratings yet,True,"I really recommended this game to the people that have strong PC.I know its free-to-play game. BUT, you'll need a STRONG PC to play it.I can't play it because of my processor. My graphic card is awesome though."
