funny,posted,last_edited,item_id,helpful,recommend,review
9 people found this review funny,"Posted November 22, 2015.",,302830,14 of 20 people (70%) found this review helpful,False,My friend said this was a good game. I then remembered they had low standards when i booted this game up
8 people found this review funny,Posted June 4.,,245170,15 of 24 people (63%) found this review helpful,True,big band can eat it
2 people found this review funny,Posted August 1.,,263300,5 of 7 people (71%) found this review helpful,True,Noel is best girl
,Posted March 23.,Last edited April 19.,282900,1 of 1 people (100%) found this review helpful,True,This is like if the gameplay Neptunia Victory was slapped onto the original story (except that its completely redone) but it makes you underleveled faster than Victory.But the story and characters are what makes the game (or entire series) a worthwhile experience.
,Posted June 23.,,730,No ratings yet,True,-Hiring Now For A Silver Squad-
,Posted January 11.,,304930,No ratings yet,True,"Eh, it's ok"
,"Posted October 20, 2015.",Last edited June 6.,218620,No ratings yet,True,THEY REMOVED MICROTRANSACTIONS!!! REJOICE!!!!!!!!!!!!
,"Posted July 2, 2015.",,326480,No ratings yet,True,Could've dated a disabled girl but I went for the childhood friend instead.10/10 would restoration patch again.
,"Posted June 23, 2015.",,620,No ratings yet,True,didn't get me pc version for free with the ps3 one.but i managed coop anyway10/10
,"Posted June 12, 2015.",,550,No ratings yet,True,Jumped into the first level.Charger push off the building.Instantly Died.10/10 Would Fall Again
