funny,posted,last_edited,item_id,helpful,recommend,review
70 people found this review funny,"Posted February 17, 2015.",,3320,48 of 52 people (92%) found this review helpful,True,my fish die because i don't feed themmy fish die because an alien eats themmy fish die because i feed them special drugs when they are too young10/10
,"Posted June 23, 2014.","Last edited February 17, 2015.",232810,3 of 6 people (50%) found this review helpful,False,peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is the worst person on this planet. peter is a w h o r e
,"Posted December 26, 2013.",,221640,1 of 3 people (33%) found this review helpful,False,no
,"Posted February 17, 2015.",,220200,0 of 1 people (0%) found this review helpful,True,I never knew I could fly a ♥♥♥♥♥ into space.
,"Posted December 26, 2013.",,212680,0 of 1 people (0%) found this review helpful,True,very
,"Posted December 26, 2013.",,2700,0 of 1 people (0%) found this review helpful,True,yes
,"Posted February 17, 2015.",,240,No ratings yet,True,looks like a toilet10
,"Posted February 17, 2015.",,41070,No ratings yet,True,i had a heart attack and couldn't find the jetpack so the giant spiderman stepped on merip
,"Posted December 26, 2013.",,4000,No ratings yet,True,dumb
,"Posted December 26, 2013.",,105600,No ratings yet,True,copy yes
