funny,posted,last_edited,item_id,helpful,recommend,review
1 person found this review funny,"Posted July 13, 2015.","Last edited October 16, 2015.",730,1 of 1 people (100%) found this review helpful,True,"Here's some game modes in CS:GOCasual:SCAR-20's home.Deathmatch: (Bad for introverts)PEOPLE, PEOPLE EVERYWHEREDemolition: (Bad for introverts)PEOPLE, PEOPLE EVERYWHEREArms Race: (Bad for introverts)PEOPLE, PEOPLE EVERYWHERECompetitive:♥♥♥♥ ♥♥♥♥♥, ♥♥♥♥♥ , I ♥♥♥♥ED YOUR MUM, NOOB."
,"Posted July 13, 2015.",,266010,1 of 2 people (50%) found this review helpful,True,Line*
,"Posted July 16, 2015.",,230410,0 of 1 people (0%) found this review helpful,False,Super duper really ♥♥♥♥ed up game controls
,"Posted July 13, 2015.",,282800,No ratings yet,True,Actual Words by me:Yes! I actually did it! oh......wait...♥♥♥♥....WHO THE ♥♥♥♥ PUT A TRAP THERE?!?! PEAT!!!!!!!!!!!!!!
,"Posted July 13, 2015.",,249870,No ratings yet,False,I can't even get to the first boss just because of a bug...I highly don't reccomend this game..Thanks for stealing 1 hour of my life and my well-begged 20 dollars.
,"Posted July 11, 2015.",,281690,No ratings yet,False,"As much as I would like to recommend this game I can't, Here is why:The graphics are cool 7/10Story is'nt that good in my opinion not sure 'bout you guys 5/10Controls and combos are cewl 8/10The fighting and aiming system is sh*t I mean when I try to kill a bad guy using my kick ♥♥♥ magic powers I end up smashing pots and turning into Link (Those who play The Legend of Zelda series will get the joke)So I rate the fighting and aiming system 3/10Overall score: Do the maths yourself........just kiddingscore of around 55%"
,"Posted July 11, 2015.",,40800,No ratings yet,True,Smashed my keyboard......Twice
,"Posted January 20, 2015.",,310370,No ratings yet,True,I could walk through benches. 10/10
,"Posted December 14, 2014.",,49520,No ratings yet,True,Unnotplayable
,"Posted November 14, 2014.","Last edited July 13, 2015.",440,No ratings yet,True,"Most Conversations in Tf2--Stranger A: Hey! You! would you like to trade your 'El Jefe' for my 'Geisha Boy'?Stranger B: Nah I really like my hat so I'm keeping it.Stranger A: ♥♥♥♥ YOU GO TO HELL-----------------------Stranger C: OMG YOU'RE SO ♥♥♥♥ING NOOB YOU USE MACHINA? LOL ♥♥♥♥♥♥♥Stranger D: At least I'm not wearing the Gibus...........♥♥♥♥♥♥♥♥Stranger E: Epic BURN!-----------------------Stranger F: PUSH THE ♥♥♥♥ING CART ♥♥♥♥♥♥♥S!!!!!!-----------------------Stranger F: CAPTURE THE ♥♥♥♥ING POINT ♥♥♥♥♥♥♥S!!!!!!-----------------------Stranger F: BUILD A ♥♥♥♥ING DISPENSER YOU ♥♥♥♥ING NOOB_____________Despite all that, I still reccomend the game."
