funny,posted,last_edited,item_id,helpful,recommend,review
1 person found this review funny,Posted August 26.,,730,2 of 2 people (100%) found this review helpful,True,- Shot a guy through the wall- planted a bomb- killed last guy- bomb exploded- went home- played Counter Strike Global Offensive10/10would play again
,Posted May 29.,,319630,1 of 2 people (50%) found this review helpful,True,im not crying
24 people found this review funny,Posted August 5.,,323910,16 of 33 people (48%) found this review helpful,False,"pc is ready, wallet is not"
2 people found this review funny,Posted August 29.,,271290,1 of 3 people (33%) found this review helpful,True,titanfall with bettur graphics
1 person found this review funny,Posted August 19.,,203160,0 of 1 people (0%) found this review helpful,True,"Oh dear god, I killed someone D:neg minute...- kills 1000+ men"
,Posted June 4.,,346110,0 of 1 people (0%) found this review helpful,True,u just need a really good gaming chair to run this game
6 people found this review funny,Posted August 20.,,298110,3 of 11 people (27%) found this review helpful,True,;-;far cry LOL
,Posted April 20.,,224540,No ratings yet,False,ew
,Posted April 10.,,409160,No ratings yet,False,"you dont actually play the game, frieken title troll. i hate u"
,Posted February 13.,,322170,No ratings yet,True,gud game
