funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted October 24, 2014.",,104900,9 of 14 people (64%) found this review helpful,True,"un juego muy divertido, es recomendable jugar con amigos, pero si no tienes amigos que juegen esto siempre podras jugar con los bots, es un muy buen juego, solo le falta mejorar un poco los graficos, pero la verdad que es uno de esos juegos que enseñan que los graficos no lo son todo"
2 people found this review funny,"Posted January 16, 2015.",,22380,1 of 1 people (100%) found this review helpful,True,"you, go press the add to cart button, Now"
,"Posted October 9, 2014.",,207230,4 of 9 people (44%) found this review helpful,True,"Un muy buen juego, Con muy buena jugabilidad y graficos aceptablesContras: los jugadores nuevos son todos noobs que lo unico que saben es robar kills, ademas de que algunos abusan glitches y usan hacks para ganar.  ademas de que los que lo crearon ya no le prestan la atencion debidaEs recomendable jugar este juego en un servidor con amigos ya que el resto de la gente que lo juega es un asco, quedan pocos jugadores que al ver dos personas peeleando se quedan quietos y no se meten en un intento desesperado de conseguir una kill robada.Pero el juego en si es muy bueno, si no fuera por la gente estupida que lo juega y por el abandono de los de codebrush por falta de fondos"
,"Posted December 30, 2015.",,332800,No ratings yet,True,Meh
,"Posted June 27, 2015.",,209080,No ratings yet,True,"es un muy buen juego, en el cual es importante el trabajo en equipo, lo unico que recomendaria es que tengas varios amigos para jugar porque la gran mayoria de los que juegan son medios retrasaditos y no entendien que siginifica que arreglen el ♥♥♥♥ globo o el hull"
,"Posted November 18, 2014.",,234670,No ratings yet,True,"very good game for people that likes naruto, good graphics , combos, cinematics, characters, and the most important thing for everyone who played a game like naruto ultimate ninja 3, you can move in 3d inestead of 2d, recommended, but probably you will get ripped off how steam did to me"
,"Posted November 10, 2014.",,263500,No ratings yet,True,"un juego divertido que se merece que lo pureben, es un estilo de lol pero con dragones, :p , es un juego que no requiere tener una pc que tenga una buena placa de video, que generalmente le anda a la mayoria, en resumen: un juego divertido y con graficos aceptables sin muchos requerimientoslo unico que le falta es que te deje invitar a mas de una persona a una partida porque solo podes invitar a 1 a tu partida"
,"Posted July 20, 2014.",,4920,No ratings yet,True,"Un juego muy bueno que requiere el trabajo en equipo para ganar, no puedes hacer todo solo, coopérar es crucial en este juego es muy recomendable que tengas un equipo al cual le entiendas, en mas si eres el commandante, muy bueno se los recomiendo mucho"
,"Posted January 9, 2014.","Last edited March 8, 2015.",6000,No ratings yet,True,"Very nice game, Pros:-Fun to play-Has multiplayer-Has a CO-OP campaing (Mods because the idiots that created this game addded a vs multiplayer but not a CO-OP on a clearly co-op game)Cons:-Not many people play this game, the multiplayer is a bit abandoned-The Campaign feels a little bit short-After you play the multiplayer for a bit you end up getting bored because the lack of game modes,Final veredict: a good game, i recomend you to play it if you like star wars,"
,"Posted September 14, 2013.","Last edited March 8, 2015.",6060,No ratings yet,True,"Star wars battlefront 2, the 50% of my childhood, i played this game for so long that when i saw it on steam i instantly bought itPros:-Good class and maps sistem Mostly witih mods-a nice campaign-hours of fun-Multiplayer still working, you just need to configure some crap-Very moddeableCons:-The main page with the mods only works with certain countries, if you are from for example south america, u cant download mods (exept u download a crappy program called 'Hotspot shield' that for a weird rason lets you download the files)-Limited missions avaible, if you get more than 500 missions you are going to start crashing-if you want to play the Hardest difficulty you will need to get the 1.3 patch (that comes with the fake console and code it)My last veredict: Very Recomended, hours of fun, mostly if you figure out how to play with friends and bots at the same time"
