funny,posted,last_edited,item_id,helpful,recommend,review
,"Posted August 18, 2014.",,218620,3 of 4 people (75%) found this review helpful,True,i want to do this when i am older
,"Posted August 26, 2014.",,10680,1 of 1 people (100%) found this review helpful,True,GORE GORE GORE
,"Posted April 21, 2015.",,253710,1 of 3 people (33%) found this review helpful,True,uninstall works best for this game
,"Posted April 20, 2015.","Last edited April 21, 2015.",4000,0 of 1 people (0%) found this review helpful,False,1: Download a ♥♥♥♥ load of mods.2: Wait 2 hours to download DarkRP mods.3: Get Banned from throwing ♥♥♥♥ at little squeaking ♥♥♥♥♥.4: Reflect on your actions and do it again on a different server.3/10
,"Posted October 5, 2014.",,242760,0 of 1 people (0%) found this review helpful,True,really good game and content. need more games like this even though it is still in development i enjoy playing it every time thanks for the fun game.
,"Posted September 6, 2014.",,211820,1 of 10 people (10%) found this review helpful,True,great game been a while since i have played a game like this
1 person found this review funny,"Posted February 26, 2015.",,345650,No ratings yet,True,funny and good story more plz
,"Posted August 30, 2014.",,237110,No ratings yet,True,great game nice graphics and alot of gore FATALITY
,"Posted May 28, 2014.",,220,No ratings yet,True,one of my most loved games of all time
,"Posted March 5, 2014.",,420,No ratings yet,True,awesome game has lots of fun theing to do and also has ZOMBIES!!!!!
